Columns,Importances,Absolute_Importances
Created_on_Weekend,-80488.76803726186,80488.76803726186
Concurrent_open_cases,-5.214368534467771,5.214368534467771
Cases_resolved_within_past_8_hours,4.200480326113884,4.200480326113884
Rolling_Std,-1.8348398996570252,1.8348398996570252
Rolling_Mean,-1.64423470032009,1.64423470032009
Seconds_left_Month,-1.3863220401285614,1.3863220401285614
Seconds_left_Qtr,-1.2286703999111197,1.2286703999111197
Rolling_Median,-1.1042968501284962,1.1042968501284962
Seconds_left_Day,-0.8803515995725394,0.8803515995725394
Seconds_left_Year,-0.8255602552187644,0.8255602552187644
